"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","method","direction","gene_ratio","bg_ratio","fold_enrichment"
"GO:0031507","heterochromatin formation","44/1056","139/11010",0.316546762589928,3.30035971223022,8.88946208437364,3.03256738558007e-13,1.68917941776012e-11,1.59152784596608e-11,"217653/319167/15270/98386/319176/319173/319162/319169/12419/12189/319172/52615/16906/319166/14056/16905/13433/319191/12417/74355/319170/218973/50708/13018/17257/229700/218850/208266/381022/214162/17191/18140/68134/433759/12593/77605/75410/621893/18676/319164/68379/59001/319168/228536",44,"DESeq2","Up in CFUE",0.0416666666666667,0.0126248864668483,3.30035971223022
"GO:0032886","regulation of microtubule-based process","52/1056","199/11010",0.261306532663317,2.72441754225674,7.99545371465838,9.3879578324972e-12,4.9103598955586e-10,4.62649167123963e-10,"228421/72119/12449/54141/75786/76123/80986/319675/20873/100502766/21335/56419/70799/214444/101706/18817/67886/11426/225659/103573/20877/68121/209334/72776/20460/56637/77744/66140/17257/227634/236266/13424/74201/66468/19878/233064/20869/11603/73420/18763/19822/219114/76707/225523/18519/76895/56742/230101/219103/246103/17245/74187",52,"DESeq2","Up in CFUE",0.0492424242424242,0.0180744777475023,2.72441754225674
"GO:0045814","negative regulation of gene expression, epigenetic","46/1056","169/11010",0.272189349112426,2.83788327057558,7.84212357286089,3.32698898026506e-11,1.65923903911126e-09,1.5633183225505e-09,"217653/319167/15270/98386/319176/319173/319162/319169/12419/12189/319172/52615/16906/319166/14056/16905/13433/319191/12417/74355/319170/218973/50708/13018/17257/229700/218850/208266/381022/214162/17191/18140/63830/68134/433759/12593/77605/75410/21652/621893/18676/319164/68379/59001/319168/228536",46,"DESeq2","Up in CFUE",0.0435606060606061,0.0153496821071753,2.83788327057558
"GO:0006260","DNA replication","59/1056","250/11010",0.236,2.46056818181818,7.60839025805548,3.62574954116966e-11,1.78745284851456e-09,1.68412008330917e-09,"12428/77011/12190/12189/108961/71988/27214/20133/12144/12534/80905/12021/98415/209334/18538/234736/21877/237877/218973/19714/77782/12447/67956/67141/18968/14084/71521/22427/225182/114741/52864/19075/214901/71735/22036/21749/52679/18392/14156/66262/212377/75826/17535/268465/12545/104806/68379/69270/226409/18971/19646/269400/56456/68964/68145/74386/78833/59001/18032",59,"DESeq2","Up in CFUE",0.0558712121212121,0.0227066303360581,2.46056818181818
"GO:0006310","DNA recombination","65/1056","295/11010",0.220338983050847,2.2972842835131,7.35626140884179,8.74260896443973e-11,4.16633887205356e-09,3.92548255140165e-09,"15270/21973/234396/208084/12190/12189/75317/12144/18817/19373/19357/12021/14056/98415/209334/78656/60530/21423/234736/107823/72440/14957/237877/74355/50708/19714/77782/67241/67956/55982/18861/22427/77044/225182/52864/17687/240087/321006/214901/97165/217216/19362/56702/233826/80838/212377/17535/268465/27401/19366/14375/12545/104806/623474/269400/102871/16842/56456/233908/15193/74386/56469/227525/21750/67711",65,"DESeq2","Up in CFUE",0.0615530303030303,0.0267938237965486,2.2972842835131
"GO:0030261","chromosome condensation","18/1056","34/11010",0.529411764705882,5.5197192513369,8.59678261445855,2.03955316206001e-10,9.40606829255417e-09,8.86230287396534e-09,"70099/54392/21973/14211/78658/76044/68298/268697/215387/12534/108907/22385/14957/50708/52683/56702/80838/51797",18,"DESeq2","Up in CFUE",0.0170454545454545,0.00308810172570391,5.5197192513369
"GO:0070507","regulation of microtubule cytoskeleton organization","36/1056","130/11010",0.276923076923077,2.88723776223776,7.05002931912697,2.78125677768409e-09,1.13607717328448e-07,1.07040047814829e-07,"228421/72119/54141/75786/76123/80986/21335/56419/214444/101706/18817/67886/20877/68121/72776/20460/56637/77744/66140/17257/227634/13424/74201/66468/11603/73420/18763/19822/219114/76707/76895/56742/230101/219103/246103/74187",36,"DESeq2","Up in CFUE",0.0340909090909091,0.0118074477747502,2.88723776223776
"GO:0046785","microtubule polymerization","26/1056","86/11010",0.302325581395349,3.15208773784355,6.52567483357338,6.37722675677474e-08,2.27932712998391e-06,2.14755908063669e-06,"67203/72119/75786/56419/70799/214444/101706/67886/12534/18541/17257/227634/67141/76789/66468/259279/74237/76707/103733/328580/51885/56742/230101/17997/219103/68475",26,"DESeq2","Up in CFUE",0.0246212121212121,0.007811080835604,3.15208773784355
"GO:0051293","establishment of spindle localization","18/1056","47/11010",0.382978723404255,3.99298839458414,6.69724723364367,1.25787530644563e-07,4.28176761059152e-06,4.03423834707166e-06,"67203/54141/76123/214444/67052/101706/18817/16211/108907/66140/12615/70385/13424/66468/26951/56150/219114/76707",18,"DESeq2","Up in CFUE",0.0170454545454545,0.00426884650317893,3.99298839458414
"GO:0007163","establishment or maintenance of cell polarity","37/1056","169/11010",0.218934911242604,2.28264523937601,5.47296045857051,1.22694264440618e-06,3.6490469400889e-05,3.43809529960395e-05,"67203/54141/75786/76123/240641/56419/214444/67052/68259/101706/18817/11426/16905/20336/56637/73804/66140/12615/270163/70385/66468/26951/22350/23954/56150/20869/114601/18763/219114/105782/76707/170736/13383/22390/244585/12928/59041",37,"DESeq2","Up in CFUE",0.0350378787878788,0.0153496821071753,2.28264523937601
"GO:0007276","gamete generation","78/1056","475/11010",0.164210526315789,1.71208133971292,5.16733022642686,1.23364841760991e-06,3.6490469400889e-05,3.43809529960395e-05,"12316/15270/21973/228421/26934/224171/268697/18286/68549/215387/12190/67052/20878/18817/74360/17776/17427/72776/60530/19317/56637/217039/229841/77053/13046/56717/77980/66140/74355/12442/22137/68201/13018/17257/236266/231912/67141/231801/51789/66468/67121/22026/12767/338349/381022/20869/17687/63830/214901/19725/52683/97165/217216/74041/219114/216860/12593/625249/80838/75410/332397/22698/72508/67030/320244/20315/18507/210529/11835/18555/18476/14087/22696/53975/14160/56469/17864/232816",78,"DESeq2","Up in CFUE",0.0738636363636364,0.0431425976385104,1.71208133971292
"GO:0007019","microtubule depolymerization","15/1056","43/11010",0.348837209302326,3.63702431289641,5.6430190546092,5.55215317053205e-06,0.000151676337251032,0.000142907918348458,"228421/70218/72119/80986/56419/67886/109242/20877/73804/227634/73420/76707/17997/246103/74187",15,"DESeq2","Up in CFUE",0.0142045454545455,0.003905540417802,3.63702431289641
"GO:0061842","microtubule organizing center localization","12/1056","32/11010",0.375,3.90980113636364,5.36888079981851,2.08583966881725e-05,0.000526245078797482,0.000495822816630924,"12316/218977/67203/76123/20878/77053/70573/22350/77048/56150/13383/76895",12,"DESeq2","Up in CFUE",0.0113636363636364,0.00290644868301544,3.90980113636364
"GO:0032465","regulation of cytokinesis","19/1056","71/11010",0.267605633802817,2.79009282970551,4.9285934204802,2.6325099076014e-05,0.000652649421601296,0.000614919716171694,"381293/11799/71819/13605/26934/233406/52276/101565/240641/12190/108961/19348/20878/18817/20877/16319/12211/52679/68112",19,"DESeq2","Up in CFUE",0.0179924242424242,0.00644868301544051,2.79009282970551
"GO:1901993","regulation of meiotic cell cycle phase transition","6/1056","10/11010",0.6,6.25568181818182,5.4155154490704,0.000114836313225375,0.00272117650510296,0.00256386511469739,"76464/22137/12532/230809/268930/67333",6,"DESeq2","Up in CFUE",0.00568181818181818,0.000908265213442325,6.25568181818182
"GO:0048714","positive regulation of oligodendrocyte differentiation","7/1056","14/11010",0.5,5.21306818181818,5.1375045150507,0.00013715560754144,0.00321453770899037,0.00302870507536146,"19317/56717/19262/12767/433759/19744/12724",7,"DESeq2","Up in CFUE",0.00662878787878788,0.00127157129881926,5.21306818181818
