"gene_id","gene_label","log2FC_deseq2","padj_deseq2","logFC_limma","padj_limma","gene_symbol_limma","entrez_id","gene_symbol","mean_log2FoldChange","best_padj","n_dars","representative_annotation","direction"
"ENSMUSG00000030878","Cdr2",8.13022386687236,0,8.00626294600044,9.73970527889932e-07,"Cdr2","12585","Cdr2",4.22617447043188,1.86375711315308e-07,3,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000048503","Tlcd5",8.11733625532102,7.45758082669732e-10,8.28113218543605,0.000482393868914528,"Tlcd5","235300","Tlcd5",1.36989788436139,1.85023097125582e-10,3,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000020300","Cpeb4",8.08733845507874,0,8.03181033761124,9.02921776330809e-07,"Cpeb4","67579","Cpeb4",0.941033668914958,7.69125747342583e-07,4,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000022100","Xpo7",8.04604495073753,0,7.95277847292809,9.02921776330809e-07,"Xpo7","65246","Xpo7",0.487513984540304,4.11983047882905e-08,6,"Exon (ENSMUST00000167242.7/65246, exon 18 of 28)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000031024","Dennd2b",8.03983467710236,2.55917095813885e-109,7.83931923889419,1.59170788043647e-05,"Dennd2b","76954","Dennd2b",0.74553750087537,2.30133698883129e-10,10,"Intron (ENSMUST00000079282.7/76954, intron 2 of 19)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000049409","Prokr1",7.94866664352075,0.00043347794280554,11.3849220742073,0.00064834578106048,"Prokr1","58182","Prokr1",0.800998730249985,1.04878915269393e-06,4,"Intron (ENSMUST00000204682.2/58182, intron 2 of 2)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000050860","Phospho1",7.79512655621532,2.88000802815883e-19,8.7091523658778,0.000748705714250016,"Phospho1","237928","Phospho1",3.72847995714732,1.6465240963371e-21,8,"Intron (ENSMUST00000133070.7/237928, intron 5 of 6)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000058624","Gda",7.78962091652732,0,7.7522841126664,9.02921776330809e-07,"Gda","14544","Gda",1.60668701325908,3.57253661905908e-12,28,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000018983","E2f2",7.52398017243464,2.23835338570354e-266,7.38082762618908,1.61057924484341e-06,"E2f2","242705","E2f2",3.35517275357869,1.26747195612915e-08,7,"Promoter (2-3kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000037124","Trim58",7.50816043652796,1.06785449880627e-187,7.33699022678297,3.45369765153977e-06,"Trim58","216781","Trim58",2.75761469265007,4.67661469064006e-08,5,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000032285","Dnaja4",7.25896735725465,6.99062928016583e-238,7.2826080795608,4.89177905040012e-06,"Dnaja4","58233","Dnaja4",0.913753177784057,2.89087943801092e-07,4,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000020669","Sh3yl1",7.21850749940399,1.94525415414779e-05,9.19845281500824,0.00171710361607678,"Sh3yl1","24057","Sh3yl1",4.68572963662264,1.50781860857212e-06,2,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000056091","St3gal5",7.19603665942827,2.68058783340136e-263,7.05206900763527,1.23193023696321e-06,"St3gal5","20454","St3gal5",0.311476809185752,6.18546619378588e-10,10,"Exon (ENSMUST00000205475.1/ENSMUST00000205475.1, exon 1 of 1)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000027346","Gpcpd1",7.18483342815356,0,7.13801776564934,9.02921776330809e-07,"Gpcpd1","74182","Gpcpd1",5.64629482941432,6.32477289319369e-09,8,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000029866","Kel",7.11923597873425,1.02681434351679e-231,6.97473208107945,1.33444960560319e-06,"Kel","23925","Kel",5.7577925398021,8.82648697738084e-11,7,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000024663","Rab3il1",7.07631017927288,0,7.01003381435343,1.6481998676485e-06,"Rab3il1","74760","Rab3il1",1.85186746737211,5.98705278558385e-09,7,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000083012","Fam220a",7.0708336569802,2.75642281368096e-221,7.13003753547733,2.68262176061801e-06,"Fam220a","67238","Fam220a",0.926383901058097,2.50346414117082e-12,6,"Intron (ENSMUST00000067145.11/67238, intron 1 of 1)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000079557","Marchf2",7.03808636871594,0,6.96732456609762,9.02921776330809e-07,"Marchf2","224703","Marchf2",4.25214910580943,2.25210976303971e-09,3,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000026028","Trak2",7.02100347320386,2.84021265869408e-299,6.9290353647363,9.02921776330809e-07,"Trak2","70827","Trak2",0.327333065389205,3.63218498451614e-10,10,"Intron (ENSMUST00000188624.1/ENSMUST00000188624.1, intron 7 of 11)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000007379","Dennd2c",6.97908312718026,0,6.9827420094056,1.83763164369017e-06,"Dennd2c","329727","Dennd2c",2.17984502232761,5.71633563654661e-09,6,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000040859","Bsdc1",6.95414060139174,0,6.88775505439259,9.02921776330809e-07,"Bsdc1","100383","Bsdc1",4.66393518646677,1.20837449992238e-14,5,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000057176","Cfap119",6.954004971027,8.7565591696796e-36,6.92565702191692,0.000580754881868604,"Cfap119","233899","Cfap119",9.51454202035943,5.75320432404491e-09,1,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000037415","Ranbp10",6.95238936109262,0,6.83331497207613,9.02921776330809e-07,"Ranbp10","74334","Ranbp10",2.19182781016709,2.49731215952994e-14,3,"Intron (ENSMUST00000041400.5/74334, intron 3 of 13)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000034449","Dhrs11",6.93448227915123,4.68829926919511e-300,6.87607833695254,3.29502394706144e-06,"Dhrs11","192970","Dhrs11",1.41353030420114,0.0020992099377188,1,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000022564","Grina",6.84458933650915,3.06593321609867e-201,6.89933872602491,3.62641332646285e-06,"Grina","66168","Grina",5.40239182936027,2.23875129553546e-08,2,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000026532","Spta1",6.79888769835101,0,6.76147096061212,9.02921776330809e-07,"Spta1","20739","Spta1",0.682362167912248,1.07744108462883e-07,5,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000024354","Slc23a1",6.79489092910238,3.28132040443114e-09,8.32409153110294,0.00199614655370927,"Slc23a1","20522","Slc23a1",6.17424582594198,1.46391823035263e-07,3,"Intron (ENSMUST00000025212.7/20522, intron 14 of 14)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000028906","Epb41",6.7738011553344,0,6.69923167191989,9.02921776330809e-07,"Epb41","269587","Epb41",0.0880339963279986,6.10948836618433e-10,17,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000026614","Slc30a10",6.76641576265887,1.60673251359542e-21,7.25234269736166,0.000874491349613518,"Slc30a10","226781","Slc30a10",0.683198142015083,1.76692658111211e-07,3,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000034459","Ifit1",6.75938790121407,2.83125130595826e-07,7.55444827196748,0.00072375238903154,"Ifit1","15957","Ifit1",8.05164640959522,8.38988096882503e-07,2,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000024588","Fech",6.73652405308283,0,6.65105334293009,9.02921776330809e-07,"Fech","14151","Fech",3.33086901462367,1.72364184957552e-09,6,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000062729","Ppox",6.73567008822519,0,6.62817424173779,1.33444960560319e-06,"Ppox","19044","Ppox",5.09671652208929,3.55735710919826e-08,2,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000056656","Apol8",6.73510054253142,5.61843391266876e-07,8.51931124543697,0.00072247717675958,"Apol8","239552","Apol8",6.55949323717143,2.07462141984281e-08,3,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000039452","Snx22",6.63695545410874,6.87868696955253e-125,6.53608775265266,6.19557681595252e-05,"Snx22","382083","Snx22",5.35488801909945,1.88251311197473e-08,4,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000020334","Slc22a4",6.63446184130132,1.67409488463407e-176,6.48330656496995,1.0204312664564e-05,"Slc22a4","30805","Slc22a4",4.87050699669314,1.78903304924827e-12,5,"Intron (ENSMUST00000020586.6/30805, intron 3 of 9)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000023995","Tspo2",6.5780878926347,2.1719113249332e-276,6.45774409956521,2.13365784895776e-06,"Tspo2","70026","Tspo2",3.87539810717901,5.09175258636086e-19,4,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000059495","Arhgef12",6.5466991424938,0,6.47435860786292,9.02921776330809e-07,"Arhgef12","69632","Arhgef12",3.45891341382926,3.58390179777815e-08,6,"Intron (ENSMUST00000165665.8/69632, intron 1 of 40)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000047648","Fbxo30",6.51880995605507,4.62187474458631e-310,6.43488668999895,9.73970527889932e-07,"Fbxo30","71865","Fbxo30",3.79333842078651,1.08255030416579e-08,5,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000029922","Mkrn1",6.49780996935216,3.8993672337086e-210,6.46414696882559,1.28783960077169e-06,"Mkrn1","54484","Mkrn1",4.11661224657311,1.93206857280394e-09,8,"Promoter (2-3kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000030217","Art4",6.4151209955409,1.02364028371475e-317,6.31596407839313,1.64784467034497e-06,"Art4","109978","Art4",1.5302064744031,1.78066322547335e-06,2,"Promoter (1-2kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000020034","Tcp11l2",6.38764322880475,3.54732191593737e-118,6.53233433332609,2.34583104918977e-06,"Tcp11l2","216198","Tcp11l2",0.711780626921643,4.84146295975256e-08,4,"Promoter (2-3kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000025573","6030468B19Rik",6.38717915263758,2.50632806494618e-11,7.2393311758155,0.00145077372445199,"6030468B19Rik","77727","6030468B19Rik",10.7973169212295,6.26367227669062e-11,1,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000032411","Tfdp2",6.34546763589343,0,6.26452721345917,9.02921776330809e-07,"Tfdp2","211586","Tfdp2",2.1275432612789,3.93004886269455e-08,9,"Exon (ENSMUST00000189249.1/ENSMUST00000189249.1, exon 1 of 1)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000026311","Asb1",6.2936301326982,0,6.23936622328539,9.02921776330809e-07,"Asb1","65247","Asb1",2.17287498215966,3.44909329415918e-08,5,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000022849","Hspbap1",6.26462783526399,5.14041370876279e-46,6.09184562966664,8.43144808001498e-05,"Hspbap1","66667","Hspbap1",3.52270059114148,9.12305882615097e-09,8,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000023926","Rhag",6.24899130949728,0,6.19759583132201,9.73970527889932e-07,"Rhag","19743","Rhag",0.152360932549972,7.16436734469281e-08,5,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000025702","Marchf8",6.24317228259082,8.39316571200525e-246,6.25238956155172,9.35187016733389e-07,"Marchf8","71779","Marchf8",4.7039491158924,2.82847221757245e-08,5,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000026835","Fcnb",6.2117237121812,1.43780846575261e-115,6.21674296363947,5.07870315206402e-05,"Fcnb","14134","Fcnb",1.53096598687031,2.54027913021851e-08,6,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000028716","Pdzk1ip1",6.18801246936971,1.99629135160824e-131,6.21059456219038,1.32255391834279e-05,"Pdzk1ip1","67182","Pdzk1ip1",1.41121342103068,6.01327349739041e-09,6,"Distal Intergenic","Up in Erythroblast and more open in Erythroblast"
"ENSMUSG00000017314","Mpp2",6.17864546743427,8.38549349421433e-78,6.14654428042174,0.00020811447886978,"Mpp2","50997","Mpp2",1.14820697662559,5.75969011806069e-08,5,"Promoter (<=1kb)","Up in Erythroblast and more open in Erythroblast"
