"gene_id","gene_symbol","log2FC_deseq2","padj_deseq2","logFC_limma_voom","padj_limma_voom","same_direction"
"ENSMUSG00000035242","Oaz1",1.85165331512212,5.49750726646828e-08,1.72600396702504,0.00289169085372525,TRUE
"ENSMUSG00000035246","Pcyt1b",3.60133924504537,1.20963925242563e-37,3.48758111127588,5.63363746578959e-05,TRUE
"ENSMUSG00000035247","Hectd1",3.16122202016695,2.98239208924102e-161,3.09789617592101,2.60290279968424e-06,TRUE
"ENSMUSG00000035248","Tut7",4.13232709225428,2.29124183723283e-160,4.06246266893854,1.72609870242736e-06,TRUE
"ENSMUSG00000035293","G2e3",1.86090945165066,5.04550412785993e-30,1.79872423500921,0.000136863228963908,TRUE
"ENSMUSG00000035311","Gnptab",-1.50092389609645,7.37225791834542e-08,-1.6063482844447,0.00811715553357744,TRUE
"ENSMUSG00000035329","Fbxo33",1.2456262975175,7.73269968076867e-08,1.26422604109936,0.00216211679439882,TRUE
"ENSMUSG00000035342","Lzts2",-3.37065166795837,2.49366209708421e-07,-3.52267627791563,0.0109723820121138,TRUE
"ENSMUSG00000035401","Emsy",1.99621648833669,9.67891845375335e-19,1.94488034028888,0.000376803817296112,TRUE
"ENSMUSG00000035413","Tmem98",-7.34213660722853,0.000213958761551202,-6.29733574208747,0.000747215954454701,TRUE
"ENSMUSG00000035441","Myo1d",4.55116476231766,3.72336875165179e-174,4.48482715557912,3.62641332646285e-06,TRUE
"ENSMUSG00000035448","Ccr3",15.4637755347622,3.44837013100683e-21,12.879083829659,2.01450136175386e-05,TRUE
"ENSMUSG00000035459","Stab2",12.0008432083116,3.15424040574859e-10,9.97409711263348,0.000209569709084643,TRUE
"ENSMUSG00000035472","Slc25a21",2.32340341667391,6.61208342555885e-16,2.36425701960709,0.00030658138349669,TRUE
"ENSMUSG00000035476","Tab3",5.21726050575076,2.51035859414085e-287,5.12885910553957,1.3229872016604e-06,TRUE
"ENSMUSG00000035493","Tgfbi",3.72326060787261,2.62215350466759e-25,3.56526871116423,0.000208297973928805,TRUE
"ENSMUSG00000035505","Cox18",-2.40954993112334,0.0142282711059995,-3.71006361981255,0.0175408895054943,TRUE
"ENSMUSG00000035517","Tdrd7",1.45190703605144,0.000300088202113547,1.32546782827347,0.0166929639487604,TRUE
"ENSMUSG00000035530","Eif1",1.23838828570102,1.67134159088487e-05,1.11096925999045,0.00781280873823998,TRUE
"ENSMUSG00000035545","Leng8",4.01284126904253,6.29277750477803e-185,3.94066545640969,2.77707564225397e-06,TRUE
